Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee? (At home),Where do you typically drink coffee? (At the office),Where do you typically drink coffee? (On the go),Where do you typically drink coffee? (At a cafe),Where do you typically drink coffee? (None of these),How do you brew coffee at home? (Pour over),How do you brew coffee at home? (French press),How do you brew coffee at home? (Espresso),How do you brew coffee at home? (Coffee brewing machine (e.g. Mr. Coffee)),How do you brew coffee at home? (Pod/capsule machine (e.g. Keurig/Nespresso)),How do you brew coffee at home? (Instant coffee),How do you brew coffee at home? (Bean-to-cup machine),How do you brew coffee at home? (Cold brew),How do you brew coffee at home? (Coffee extract (e.g. Cometeer)),How do you brew coffee at home? (Other),"On the go, where do you typically purchase coffee? (National chain (e.g. Starbucks, Dunkin))","On the go, where do you typically purchase coffee? (Local cafe)","On the go, where do you typically purchase coffee? (Drive-thru)","On the go, where do you typically purchase coffee? (Specialty coffee shop)","On the go, where do you typically purchase coffee? (Deli or supermarket)","On the go, where do you typically purchase coffee? (Other)",What is your favorite coffee drink?,Do you usually add anything to your coffee? (No - just black),"Do you usually add anything to your coffee? (Milk, dairy alternative, or coffee creamer)",Do you usually add anything to your coffee? (Sugar or sweetener),Do you usually add anything to your coffee? (Flavor syrup),Do you usually add anything to your coffee? (Other),What kind of dairy do you add? (Whole milk),What kind of dairy do you add? (Skim milk),What kind of dairy do you add? (Half and half),What kind of dairy do you add? (Coffee creamer),What kind of dairy do you add? (Flavored coffee creamer),What kind of dairy do you add? (Oat milk),What kind of dairy do you add? (Almond milk),What kind of dairy do you add? (Soy milk),What kind of dairy do you add? (Other),What kind of sugar or sweetener do you add? (Granulated Sugar),"What kind of sugar or sweetener do you add? (Artificial Sweeteners (e.g., Splenda))",What kind of sugar or sweetener do you add? (Honey),What kind of sugar or sweetener do you add? (Maple Syrup),What kind of sugar or sweetener do you add? (Stevia),What kind of sugar or sweetener do you add? (Agave Nectar),What kind of sugar or sweetener do you add? (Brown Sugar),What kind of sugar or sweetener do you add? (Raw Sugar (Turbinado)),"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?",Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee? (It tastes good),Why do you drink coffee? (I need the caffeine),Why do you drink coffee? (I need the ritual),Why do you drink coffee? (It makes me go to the bathroom),Why do you drink coffee? (Other),Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
0Ej0WA,45-54 years old,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Somewhat light,Light,Full caffeine,8.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,Coffee B,Coffee D,Coffee D,I primarily work from home,>$100,1,1,0,0,0,Yes,Yes,$6-$8,$8-$10,No,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,Republican
9dJYlQ,35-44 years old,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Latte,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Nutty,Somewhat strong,Medium,Full caffeine,2.0,1.0,5.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,5.0,Coffee C,Coffee D,Coffee D,I primarily work in person,$20-$40,1,1,0,0,0,Yes,No,$4-$6,$6-$8,Yes,$50-$100,Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
OABqpR,25-34 years old,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Cappuccino,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,Chocolatey,Medium,Medium,Half caff,7.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,Coffee B,Coffee D,Coffee B,,,1,1,1,1,1,,,,,,,,,,,,,,
bl41Zg,45-54 years old,Less than 1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Iced coffee,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Sweet,Somewhat strong,Medium,Half caff,2.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,5.0,4.0,2.0,4.0,Coffee C,Coffee A,Coffee D,I primarily work in person,<$20,1,1,0,0,0,Yes,No,$8-$10,$8-$10,No,$20-$50,Yes,Male,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat
GrBVrk,25-34 years old,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,Cold brew,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Chocolatey,Somewhat strong,Medium,Full caffeine,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,Coffee B,Coffee A,Coffee C,,,1,1,1,1,1,,,,,,,,,,,,,,
WApbYk,35-44 years old,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Americano,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,Nutty,Medium,Light,Full caffeine,7.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,,1,0,1,0,0,Yes,Yes,$8-$10,$4-$6,Yes,$100-$300,Yes,Female,Bachelor's degree,White/Caucasian,,Employed full-time,1,No affiliation
eBxG20,35-44 years old,3,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,Espresso,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nutty,Somewhat strong,Medium,Half caff,8.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,Coffee A,Coffee D,Coffee C,I do a mix of both,$20-$40,1,1,1,0,0,Yes,Yes,$8-$10,$8-$10,No,"More than $1,000",No,Male,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Independent
NAB2qB,25-34 years old,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Cortado,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Chocolatey,Somewhat strong,Dark,Full caffeine,7.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,2.0,5.0,2.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$60-$80,1,0,1,0,0,Yes,No,$4-$6,$6-$8,Yes,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
RzBqoJ,35-44 years old,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,Cold brew,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nutty,Medium,Light,Full caffeine,7.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,1,1,1,0,0,Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
5dqajd,25-34 years old,More than 4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Cappuccino,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,4.0,5.0,1.0,2.0,3.0,3.0,3.0,1.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,1,1,1,0,0,Yes,Yes,$6-$8,More than $20,Yes,$300-$500,No,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
VZ1W0E,35-44 years old,More than 4,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,Espresso,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bold,Very strong,Medium,Full caffeine,8.0,1.0,1.0,4.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,Coffee A,Coffee A,Coffee A,I primarily work from home,>$100,1,1,1,0,0,Yes,Yes,$8-$10,$10-$15,Yes,$500-$1000,Yes,Male,Master's degree,White/Caucasian,,Employed full-time,2,No affiliation
NABN5G,45-54 years old,More than 4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,Americano,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bold,Somewhat strong,Dark,Half caff,6.0,2.0,5.0,1.0,2.0,3.0,5.0,2.0,2.0,3.0,2.0,5.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$40-$60,1,0,1,0,0,Yes,Yes,$6-$8,$6-$8,No,$100-$300,Yes,Female,,,,,,
6dQY8o,25-34 years old,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Cappuccino,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Juicy,Somewhat strong,Light,Full caffeine,8.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,>$100,1,0,1,0,0,Yes,Yes,More than $20,More than $20,No,"More than $1,000",Yes,Male,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat
WAp6va,45-54 years old,More than 4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,Espresso,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Bold,Somewhat strong,Dark,Full caffeine,8.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,Coffee B,Coffee D,Coffee B,I primarily work from home,$60-$80,1,1,1,0,0,Yes,No,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,Master's degree,Hispanic/Latino,,Employed full-time,3,Independent
OABqQp,35-44 years old,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,Latte,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Sweet,Very strong,Medium,Full caffeine,3.0,2.0,2.0,5.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,1,1,1,0,0,Yes,Yes,$4-$6,$6-$8,Yes,$20-$50,Yes,Male,Some college or associate's degree,White/Caucasian,,Employed full-time,,No affiliation
jB9r21,25-34 years old,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,Latte,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Chocolatey,Somewhat strong,Medium,Full caffeine,5.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,4.0,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,0,0,1,0,0,Yes,No,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat
pLPYLE,25-34 years old,2,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,Iced coffee,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Caramalized,Very strong,Light,Full caffeine,8.0,4.0,3.0,5.0,3.0,4.0,1.0,5.0,3.0,2.0,2.0,2.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,1,1,0,0,0,Yes,Yes,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
oAV8yX,35-44 years old,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Other,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Floral,Somewhat strong,Light,Full caffeine,9.0,2.0,4.0,5.0,4.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,Coffee A,Coffee A,Coffee A,,,1,1,1,1,1,,,,,,,,,,,,,,
g5NPxK,25-34 years old,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Cappuccino,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,Fruity,Somewhat strong,Light,Full caffeine,9.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,4.0,4.0,Coffee C,Coffee D,Coffee D,,$40-$60,1,0,0,0,0,Yes,Yes,$15-$20,$15-$20,No,"More than $1,000",Yes,Male,,,,,,
bl41kE,25-34 years old,2,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,Pourover,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Nutty,Somewhat strong,Light,Full caffeine,7.0,2.0,5.0,5.0,5.0,1.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$80-$100,1,1,1,1,0,Yes,Yes,$10-$15,$10-$15,No,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
GrBO1z,45-54 years old,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Cappuccino,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Chocolatey,Medium,Medium,Full caffeine,6.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,1,1,1,0,0,Yes,Yes,$8-$10,$8-$10,Yes,$100-$300,Yes,Male,Master's degree,White/Caucasian,,Employed full-time,2,Democrat
xdN8Q9,25-34 years old,2,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Very strong,Light,Full caffeine,8.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0,4.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,1,0,0,0,0,Yes,Yes,$8-$10,$10-$15,Yes,$500-$1000,Yes,Male,Master's degree,White/Caucasian,,Employed full-time,,Independent
vNx8Xv,35-44 years old,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Cold brew,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,Chocolatey,Medium,Medium,Full caffeine,6.0,2.0,2.0,4.0,2.0,2.0,5.0,3.0,4.0,2.0,3.0,4.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,1,1,0,0,0,Yes,Yes,$6-$8,$6-$8,Yes,$50-$100,Yes,Female,Bachelor's degree,White/Caucasian,,Unemployed,1,Democrat
dY2JPN,18-24 years old,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Pourover,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,Nutty,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,5.0,2.0,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,1,0,1,1,0,Yes,Yes,$6-$8,$6-$8,Yes,$50-$100,Yes,Male,,,,,,
MAdjLE,35-44 years old,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Espresso,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Somewhat strong,Nordic,Full caffeine,9.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,Coffee A,Coffee D,Coffee D,I do a mix of both,>$100,1,0,0,0,0,Yes,Yes,$15-$20,More than $20,Yes,"More than $1,000",Yes,Male,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat
6dQ6xo,25-34 years old,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Latte,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,2.0,5.0,5.0,3.0,4.0,2.0,3.0,3.0,5.0,1.0,5.0,4.0,Coffee C,Coffee A,Coffee C,I do a mix of both,$40-$60,1,0,0,0,0,Yes,Yes,$10-$15,More than $20,No,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,,Employed full-time,,Democrat
7d97lZ,25-34 years old,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,Americano,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Full Bodied,Medium,Dark,Full caffeine,3.0,2.0,5.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,Coffee B,Coffee D,Coffee B,I do a mix of both,>$100,1,1,0,0,0,Yes,Yes,$8-$10,$15-$20,Yes,$20-$50,No,Female,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,,Democrat
0EjqPQ,25-34 years old,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Somewhat strong,Light,Full caffeine,7.0,3.0,4.0,2.0,5.0,2.0,2.0,4.0,3.0,3.0,1.0,5.0,5.0,Coffee C,Coffee D,Coffee D,I primarily work from home,$40-$60,1,1,1,0,0,Yes,Yes,$8-$10,$15-$20,No,$300-$500,Yes,Male,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,1,No affiliation
